,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3
409,865.2225300000001,95.78656,1373.9613,921.8295300000001,220.47095,1143.65149,901.1748699999999,474.19097999999997,1158.0067099999999
410,867.3254400000001,97.10521999999999,1374.18054,924.46466,226.45862000000002,1146.91064,899.8089,478.58453,1173.70251
411,868.9063699999999,98.33655,1374.92065,926.73419,232.10699,1150.67151,899.0574300000001,482.49365,1188.91675
412,870.72137,99.71484,1375.87659,928.1099199999999,237.61316000000002,1154.5542,898.76361,486.20245,1203.78931
413,872.1483199999999,101.22284,1377.30615,929.3634599999999,243.23535,1158.97852,898.56305,489.83221,1218.2639199999999
414,873.12811,102.53705,1379.00415,930.6022300000001,248.86932000000002,1164.08252,897.73065,493.33002,1232.21069
415,874.14844,103.41467,1380.51147,931.66864,254.87822999999997,1169.52429,897.65204,496.87299,1245.96948
416,874.9865699999999,104.09302,1382.0968,932.87592,261.37244,1175.35779,898.48004,500.61365,1259.89697
417,875.40491,104.68353,1383.77673,934.1424,267.776,1181.67505,898.53021,504.51800999999995,1273.69153
418,875.56165,105.05603,1385.42322,934.7171,274.0271,1188.20093,898.2163699999999,508.27300999999994,1287.03455
419,875.41669,105.27526999999999,1387.1770000000001,934.5519400000001,280.02477999999996,1194.94995,898.1405599999999,511.5354,1300.1027800000002
420,874.81842,105.43536,1388.90198,934.56024,285.84204,1202.0575,898.0070199999999,514.4492799999999,1312.9248
421,874.15906,105.36218000000001,1390.4796099999999,934.5908800000001,291.26556,1209.05664,898.0069,517.08795,1325.29199
422,873.27319,104.82275,1391.82764,933.9296300000001,295.58319,1215.64819,898.06976,519.1983,1336.94214
423,872.0134300000001,104.09363,1392.82654,932.87054,299.32495,1221.77466,897.86908,520.7764900000001,1347.68994
424,870.6362300000001,103.34583,1393.8375199999998,931.5889300000001,302.50635,1227.34631,897.24786,521.76489,1357.5997300000001
425,868.8630400000001,102.47771999999999,1394.8057900000001,930.1315300000001,304.75751,1232.52661,896.3507699999999,521.80273,1366.7949199999998
426,867.0662199999999,101.69574,1395.5155,928.86334,306.5907,1237.07654,895.1889,520.85242,1375.49597
427,865.43036,101.05377,1396.54651,927.2643400000001,307.65857,1240.6461199999999,893.5999099999999,519.11151,1383.58435
428,863.6817599999999,100.5033,1397.78674,925.2720300000001,307.88482999999997,1243.45374,892.0980800000001,516.71881,1390.87927
429,862.4205300000001,100.08899,1398.76062,923.492,307.77924,1245.61768,890.8657800000001,513.77454,1397.60522
430,861.36151,99.52399,1399.59595,921.6976900000001,307.52637000000004,1247.15894,889.1414199999999,510.37299,1403.7277800000002
431,860.0029300000001,98.80353000000001,1400.10925,920.01324,307.53722999999997,1248.30969,887.0939300000001,506.9903,1409.22119
432,858.7818,97.97974,1400.04456,918.42206,307.6087,1249.18896,885.5658599999999,503.80737,1414.10913
433,857.6257300000001,97.02393000000001,1399.58618,916.5701300000001,307.43384,1249.90381,884.2575099999999,500.62810999999994,1418.30127
434,856.69104,96.31403,1398.9050300000001,915.0452300000001,307.36963,1250.37048,882.77399,497.70612,1421.71436
435,856.0214800000001,95.38043,1397.88464,913.9318199999999,307.18242999999995,1250.37366,881.1887800000001,495.19788,1424.12842
